task,n,mean_risk10,secs
logistic__cvr1f0__imp11.parquet,8232,0.060519103225010584,0.3348274230957031
logistic__cvr0f4__imp11.parquet,8229,0.059582058684465526,0.3652973175048828
logistic__cvr1f3__imp11.parquet,8230,0.06140348355141433,0.30190253257751465
logistic__cvr1f1__imp11.parquet,8230,0.06206172419363348,0.365490198135376
gbs_naive__cvr0f4__imp8.parquet,8229,0.043735586322451135,1.935619831085205
gbs_naive__cvr1f0__imp8.parquet,8232,0.0435540763864062,1.9806311130523682
gbs_naive__cvr1f1__imp8.parquet,8230,0.043570480136673896,2.00329327583313
logistic__cvr1f4__imp11.parquet,8229,0.05847236459664387,0.37949323654174805
logistic_cr__cvr1f3__imp10.parquet,8230,0.04638844882513492,0.9288876056671143
gbs_naive__cvr2f1__imp8.parquet,8230,0.04425748727841725,2.007327079772949
gbs_naive__cvr0f0__imp8.parquet,8232,0.0441702122155624,2.0855720043182373
gbs_naive__cvr1f3__imp8.parquet,8230,0.04534016587471304,2.047663450241089
gbs_naive__cvr1f2__imp8.parquet,8230,0.0444249934147589,2.0661509037017822
logistic__cvr1f2__imp11.parquet,8230,0.06072790089174978,0.5341651439666748
logistic_cr__temporal__imp11.parquet,9329,0.04256268355596104,0.2530524730682373
gbs_naive__cvr0f2__imp8.parquet,8230,0.04271812370231234,2.159806251525879
gbs_naive__cvr0f1__imp8.parquet,8230,0.044304302973830124,2.1655523777008057
logistic__cvr2f0__imp11.parquet,8232,0.06196284689471463,0.32136011123657227
logistic__cvr2f2__imp11.parquet,8230,0.060558089067141635,0.3088407516479492
logistic__cvr2f3__imp11.parquet,8230,0.059766758313975814,0.3091757297515869
gbs_naive__cvr1f4__imp8.parquet,8229,0.04247729429534017,2.12701153755188
gbs_naive__cvr0f0__imp9.parquet,8232,0.04431378445608858,1.99800443649292
logistic__cvr2f1__imp11.parquet,8230,0.059979060309353814,0.33553600311279297
logistic__cvr2f4__imp11.parquet,8229,0.061041876735131416,0.30937647819519043
gbs_naive__cvr2f4__imp8.parquet,8229,0.0438930763945967,2.136876106262207
gbs_naive__temporal__imp11.parquet,9329,0.050070459898087685,0.9808850288391113
gbs_naive__cvr0f3__imp9.parquet,8230,0.043524554883479345,2.029888868331909
gbs_naive__cvr2f4__imp9.parquet,8229,0.04402976088259113,2.0277702808380127
gbs_naive__cvr1f0__imp9.parquet,8232,0.04352122242173406,2.0626251697540283
logistic_cr__cvr0f0__imp11.parquet,8232,0.04635829616702569,0.314652681350708
gbs_naive__cvr2f3__imp8.parquet,8230,0.04240926119753781,2.193593978881836
gbs_naive__cvr0f2__imp9.parquet,8230,0.04274506151754989,2.0848612785339355
logistic_cr__cvr0f1__imp11.parquet,8230,0.04722944033661476,0.33847856521606445
gbs_naive__cvr1f1__imp9.parquet,8230,0.043841614756223835,2.0990023612976074
gbs_naive__cvr0f3__imp8.parquet,8230,0.04387636166896355,2.2789158821105957
gbs_naive__cvr1f2__imp9.parquet,8230,0.044172244539056,2.1001017093658447
gbs_naive__cvr2f0__imp9.parquet,8232,0.043807202769641125,2.1031830310821533
gbs_naive__cvr2f2__imp8.parquet,8230,0.04396483926328813,2.2255096435546875
gbs_naive__cvr2f3__imp9.parquet,8230,0.04213221574741111,2.10015869140625
gbs_naive__cvr2f1__imp9.parquet,8230,0.0440431448444141,2.133699893951416
gbs_naive__cvr1f3__imp9.parquet,8230,0.04484113979024434,2.1553354263305664
gbs_naive__cvr0f1__imp9.parquet,8230,0.04459405054336379,2.162266969680786
logistic_cr__cvr1f0__imp11.parquet,8232,0.045748623849422076,0.3355882167816162
gbs_naive__cvr1f4__imp9.parquet,8229,0.042326235848152045,2.174671173095703
logistic_cr__cvr0f4__imp11.parquet,8229,0.04495506127899076,0.3480658531188965
gbs_naive__cvr0f4__imp9.parquet,8229,0.043762023408936125,2.18270206451416
gbs_naive__cvr2f0__imp8.parquet,8232,0.044149110442615165,2.31484055519104
gbs_naive__cvr2f2__imp9.parquet,8230,0.04407108550967843,2.2046260833740234
logistic_cr__cvr0f3__imp11.parquet,8230,0.04537133508495037,0.4168219566345215
logistic_cr__cvr1f2__imp11.parquet,8230,0.045513275812349145,0.3500173091888428
logistic_cr__cvr1f3__imp11.parquet,8230,0.046193452385427006,0.3667480945587158
logistic_cr__cvr1f1__imp11.parquet,8230,0.04642993177671135,0.4112517833709717
logistic_cr__cvr2f1__imp11.parquet,8230,0.04537439303489766,0.3218996524810791
logistic__temporal__imp12.parquet,9329,0.05394783415176011,0.20333552360534668
logistic_cr__cvr2f3__imp11.parquet,8230,0.045093932630515886,0.37950634956359863
logistic_cr__cvr0f2__imp11.parquet,8230,0.043773209456566695,0.6059019565582275
