"task","n","mean_risk10","secs"
"rsf_cr__cvr0f1__imp11",8230,0.0374660213248071,197.222916841507
"rsf_cr__cvr0f2__imp11",8230,0.0367254913557855,195.641533136368
"rsf_cr__cvr0f3__imp11",8230,0.0366631783388748,195.422475099564
"rsf_cr__cvr0f4__imp11",8229,0.0371988239585972,204.810912132263
"rsf_cr__cvr1f0__imp11",8232,0.0364724143236026,205.678240299225
"rsf_cr__cvr1f1__imp11",8230,0.037076543713469,201.231670618057
"rsf_cr__cvr1f2__imp11",8230,0.0371992453156347,205.180675268173
"rsf_cr__cvr1f3__imp11",8230,0.0377159032555949,201.235728979111
"rsf_cr__cvr1f4__imp11",8229,0.0359798646781975,200.226847410202
"rsf_cr__cvr2f0__imp11",8232,0.0375459673725156,199.209515571594
"rsf_cr__cvr2f1__imp11",8230,0.0375427225310765,198.192476987839
"rsf_cr__cvr2f2__imp11",8230,0.0378724798938467,203.237231731415
"rsf_cr__cvr2f3__imp11",8230,0.0357624541571943,197.347993135452
"rsf_cr__cvr2f4__imp11",8229,0.0368079062222624,203.245930433273
"rsf_naive__temporal__imp12",9329,0.0490012484193349,45.6666114330292
"rsf_cr__temporal__imp12",9329,0.0427168200715353,94.1196331977844
"rsf_naive__cvr0f0__imp12",8232,0.0433135222835878,105.142369270325
"rsf_naive__cvr0f1__imp12",8230,0.0427559416408974,107.056244134903
"rsf_naive__cvr0f2__imp12",8230,0.041593785833827,104.036574602127
"rsf_naive__cvr0f3__imp12",8230,0.0426023407809672,104.563024759293
"rsf_naive__cvr0f4__imp12",8229,0.0423613346874671,107.81888794899
"rsf_naive__cvr1f0__imp12",8232,0.0422068899731587,107.037897586823
"rsf_naive__cvr1f1__imp12",8230,0.0424732743034085,106.099870681763
"rsf_naive__cvr1f2__imp12",8230,0.0436957946739043,103.827362537384
"rsf_naive__cvr1f3__imp12",8230,0.044380961426811,107.323529481888
"rsf_naive__cvr1f4__imp12",8229,0.0424421305678877,105.738943338394
"rsf_naive__cvr2f0__imp12",8232,0.0441205201071437,104.26744389534
"rsf_naive__cvr2f1__imp12",8230,0.0425240931059975,106.507012367249
"rsf_naive__cvr2f2__imp12",8230,0.0434615085030399,105.837173223495
