split,model,family,horizon_y,metric,concordant_smoother,est,lo,hi,lo_rubin,hi_rubin,se,fmi,df,m
cv,logistic,naive,10,e50_smoothfg,smoothnet,0.00143159256469795,0.001238499047076885,0.003158490657978178,0.0005286153157224319,0.0023345698136734683,0.00046067522147065043,0.03387472614062483,15523.184486735663,30
cv,logistic,naive,10,e50_smoothcsh,smoothnet,0.004289179467194857,0.0006256009437867425,0.003188526937311371,0.003127799289043648,0.005450559645346066,0.0005925289473379742,0.014512117767502521,31389.980579014435,30
cv,logistic,naive,10,e50_smoothnet,smoothnet,0.00383703944298945,0.00031235079173693505,0.002741708818643773,0.0026912844433230826,0.004982794442655817,0.0005845564084724655,0.015413608773354006,30483.965668273046,30
cv,logistic,naive,10,e90_smoothfg,smoothnet,0.0761192158413428,0.05570716126283401,0.06611408781078881,0.07071090005263823,0.08152753163004738,0.002759295754882624,0.01240692942790176,33485.85461103032,30
cv,logistic,naive,10,e90_smoothcsh,smoothnet,0.07117802628560324,0.04839244236147558,0.05895443388665801,0.06584687436833393,0.07650917820287255,0.002719936911158089,0.008373253300115015,37184.29511028747,30
cv,logistic,naive,10,e90_smoothnet,smoothnet,0.055519919751792,0.030323823133686117,0.041784471799155086,0.04968105238199916,0.06135878712158484,0.0029789777144612565,0.004908213813033118,39627.715456944614,30
cv,logistic,naive,10,ici_concordant_austin,smoothnet,0.018026416808798247,0.009561971069510308,0.013493512960592991,0.016085951986157202,0.019966881631439292,0.0009900214199247655,0.003893993262687494,40151.1619145124,30
cv,logistic,naive,10,e50_concordant_austin,smoothnet,0.00383703944298945,0.00031235079173693505,0.002741708818643773,0.0026912844433230826,0.004982794442655817,0.0005845564084724655,0.015413608773354006,30483.965668273046,30
cv,logistic,naive,10,e90_concordant_austin,smoothnet,0.055519919751792,0.030323823133686117,0.041784471799155086,0.04968105238199916,0.06135878712158484,0.0029789777144612565,0.004908213813033118,39627.715456944614,30
cv,logistic_cr,competing,10,ici_smoothfg,undetermined,0.008278498649380402,0.003853504759857595,0.005884782660566068,0.007151689182094774,0.00940530811666603,0.0005748962985615274,0.002171131458901947,40800.524328559,30
cv,logistic_cr,competing,10,ici_smoothcsh,undetermined,0.008527540590346668,0.0019893890772974447,0.005152604256737695,0.006944067386310169,0.010111013794383165,0.0008078855104075226,0.001101353286057253,41040.23277019296,30
cv,logistic_cr,competing,10,ici_smoothnet,undetermined,0.003584176048257904,0.0040965869384974,0.006902122808579743,0.0020618618782150904,0.005106490218300718,0.0007766792604563485,0.009434393377277205,36276.46014050135,30
cv,logistic_cr,competing,10,e50_smoothfg,undetermined,0.00218218034763093,0.0008964761860358276,0.0021860701326533957,0.0015546309564773713,0.0028097297387844884,0.0003201421216789563,0.04924224907225477,9222.156055599635,30
cv,logistic_cr,competing,10,e50_smoothcsh,undetermined,0.004717004618856946,0.0013867355097326576,0.00369033734724712,0.0035276722189203913,0.005906337018793501,0.0006067933971025655,0.008916765470776552,36726.74140156566,30
cv,logistic_cr,competing,10,e50_smoothnet,undetermined,0.0037320139458438804,0.001459408643002965,0.002944237040409198,0.003028565407382036,0.004435462484305725,0.00035889656561469564,0.010630833508908715,35189.28655976973,30
cv,logistic_cr,competing,10,e90_smoothfg,undetermined,0.022935867302929527,0.005810319727166713,0.014894088636555761,0.01804533502959186,0.027826399576267195,0.002495140858158837,0.0029982818550771083,40528.05430437022,30
cv,logistic_cr,competing,10,e90_smoothcsh,undetermined,0.01833422069072692,0.0019625713140935075,0.008229386014497173,0.01477854000658671,0.021889901374867127,0.0018140973144207624,0.008194373795071083,37331.19519708132,30
cv,logistic_cr,competing,10,e90_smoothnet,undetermined,0.0047898504440192615,0.008483959582491379,0.01917340994370027,-0.0009845918922550692,0.010564292780293593,0.0029461097104501407,0.0035527234133485193,40304.51709646646,30
cv,nfg,competing,10,ici_smoothfg,undetermined,0.004167650878480668,0.005906020962785775,0.008184392987973571,0.003109865701795734,0.005225436055165601,0.0005396419406204547,0.041097767257824054,12031.965413993688,30
cv,nfg,competing,10,ici_smoothcsh,undetermined,0.00267370088315583,0.004406632439575415,0.007718977099805917,0.0009975422106483593,0.0043498595556633,0.0008551582037796203,0.020460292111649795,25553.724152699408,30
