model,threshold,net_benefit,frac_above,n_imp,split,horizon_y
cox_naive,0.075,0.00028690926965125745,0.07111516061028335,30,temporal,5.0
cox_naive,0.08,0.00020055895516707224,0.061607174759709865,30,temporal,5.0
cox_naive,0.085,7.10517236632698e-05,0.05442884196233966,30,temporal,5.0
cox_naive,0.09,-7.126542660897817e-05,0.048004430628506095,30,temporal,5.0
cox_naive,0.095,-0.0002741012155011982,0.04221602887054703,30,temporal,5.0
cox_naive,0.1,-0.0003160197393234167,0.037253010326222885,30,temporal,5.0
cox_naive,0.125,-0.0009147104012577266,0.02135277092936006,30,temporal,5.0
cox_naive,0.15,-0.0009857517881201147,0.013399078143423731,30,temporal,5.0
cox_naive,0.2,-0.0008110908636152499,0.004405616893557724,30,temporal,5.0
csc_cox,0.001,0.012939519717666714,0.901268446064244,30,temporal,5.0
csc_cox,0.002,0.012298567191910529,0.768006574481009,30,temporal,5.0
csc_cox,0.003,0.011717720066262316,0.6817450959373995,30,temporal,5.0
csc_cox,0.004,0.011201040988192594,0.618773001750813,30,temporal,5.0
csc_cox,0.005,0.010711218579049534,0.5747239789902455,30,temporal,5.0
csc_cox,0.006,0.010242273306110288,0.5375674420266552,30,temporal,5.0
csc_cox,0.007,0.009872879765677424,0.5049380069317898,30,temporal,5.0
csc_cox,0.008,0.009490783163150633,0.4783756744202666,30,temporal,5.0
csc_cox,0.009,0.009174560179428847,0.4531568228105906,30,temporal,5.0
csc_cox,0.01,0.00884645937706287,0.4315932397184407,30,temporal,5.0
csc_cox,0.011,0.008613561482015537,0.4124772215671562,30,temporal,5.0
csc_cox,0.012,0.008319102463564274,0.3950262621931611,30,temporal,5.0
csc_cox,0.013,0.007955915557697237,0.378561474970522,30,temporal,5.0
csc_cox,0.014,0.007544331470616863,0.3649980348018723,30,temporal,5.0
csc_cox,0.015,0.007104730822269005,0.35264587129738806,30,temporal,5.0
csc_cox,0.016,0.006929146255767412,0.33872154929074216,30,temporal,5.0
csc_cox,0.017,0.00671170501665484,0.3265230285489692,30,temporal,5.0
csc_cox,0.018,0.006410642939619115,0.3154536034587487,30,temporal,5.0
csc_cox,0.019,0.006116914555531042,0.304762925644049,30,temporal,5.0
csc_cox,0.02,0.0057166483272481465,0.29336477650337656,30,temporal,5.0
csc_cox,0.025,0.004114456070721478,0.2500125058062672,30,temporal,5.0
csc_cox,0.03,0.00280730486429819,0.21139457605316755,30,temporal,5.0
csc_cox,0.035,0.0020410105283892904,0.18424625719083862,30,temporal,5.0
csc_cox,0.04,0.0017067447981801074,0.16091756887126166,30,temporal,5.0
csc_cox,0.045,0.001300023926591198,0.1412191374566763,30,temporal,5.0
csc_cox,0.05,0.0006630898180170118,0.12489370064672883,30,temporal,5.0
csc_cox,0.055,0.0005903534577561822,0.11056204666452281,30,temporal,5.0
csc_cox,0.06,0.0004570511080752532,0.09556579840640297,30,temporal,5.0
csc_cox,0.065,0.000530192684953614,0.08290992246400114,30,temporal,5.0
